group,split,acc,precision,recall,f1,auc,eer,threshold_eer,n_samples
orig_low,crf_src,0.55,0.6888888888888889,0.5,0.5794392523364486,0.5950764006791173,0.4363327674023769,0.4886345319382007,100
orig_mid,crf_src,0.5,0.6875,0.3548387096774194,0.46808510638297873,0.58446519524618,0.4787775891341256,0.42140211054163396,100
orig_high,crf_src,0.53,0.7272727272727273,0.3870967741935484,0.5052631578947369,0.7338709677419355,0.3242784380305602,0.3508651765057747,100
low_mid,crf_src,0.51,0.6511627906976745,0.45161290322580644,0.5333333333333333,0.5432937181663837,0.5212224108658743,0.49385502594482167,100
low_high,crf_src,0.51,0.7096774193548387,0.3548387096774194,0.4731182795698925,0.583616298811545,0.44949066213921907,0.4679530764551875,100
mid_high,crf_src,0.46,0.5869565217391305,0.43548387096774194,0.5,0.5360780984719864,0.5212224108658743,0.4973478208860388,100
low_mid_group,crf_src,0.65,0.813953488372093,0.5645161290322581,0.6666666666666666,0.669779286926995,0.35653650254668934,0.40672062838249695,100
high_related,crf_src,0.65,0.7755102040816326,0.6129032258064516,0.6846846846846847,0.7712224108658743,0.3646010186757216,0.4693650506363493,100
all_relations,crf_src,0.64,0.8095238095238095,0.5483870967741935,0.6538461538461539,0.8073005093378608,0.31112054329371813,0.31074854033592564,100
score_stats,crf_src,0.65,0.7872340425531915,0.5967741935483871,0.6788990825688074,0.8077249575551783,0.31918505942275044,0.4416200673630027,100
score_plus_all,crf_src,0.66,0.8043478260869565,0.5967741935483871,0.6851851851851852,0.817062818336163,0.31918505942275044,0.3814949107242481,100
orig_low,crf0,0.55,0.6888888888888889,0.5,0.5794392523364486,0.5950764006791173,0.4363327674023769,0.4886345319382007,100
orig_mid,crf0,0.5,0.6875,0.3548387096774194,0.46808510638297873,0.58446519524618,0.4787775891341256,0.42140211054163396,100
orig_high,crf0,0.53,0.7272727272727273,0.3870967741935484,0.5052631578947369,0.7338709677419355,0.3242784380305602,0.3508651765057747,100
low_mid,crf0,0.51,0.6511627906976745,0.45161290322580644,0.5333333333333333,0.5432937181663837,0.5212224108658743,0.49385502594482167,100
low_high,crf0,0.51,0.7096774193548387,0.3548387096774194,0.4731182795698925,0.583616298811545,0.44949066213921907,0.4679530764551875,100
mid_high,crf0,0.46,0.5869565217391305,0.43548387096774194,0.5,0.5360780984719864,0.5212224108658743,0.4973478208860388,100
low_mid_group,crf0,0.65,0.813953488372093,0.5645161290322581,0.6666666666666666,0.669779286926995,0.35653650254668934,0.40672062838249695,100
high_related,crf0,0.65,0.7755102040816326,0.6129032258064516,0.6846846846846847,0.7712224108658743,0.3646010186757216,0.4693650506363493,100
all_relations,crf0,0.64,0.8095238095238095,0.5483870967741935,0.6538461538461539,0.8073005093378608,0.31112054329371813,0.31074854033592564,100
score_stats,crf0,0.65,0.7872340425531915,0.5967741935483871,0.6788990825688074,0.8077249575551783,0.31918505942275044,0.4416200673630027,100
score_plus_all,crf0,0.66,0.8043478260869565,0.5967741935483871,0.6851851851851852,0.817062818336163,0.31918505942275044,0.3814949107242481,100
orig_low,crf23,0.49,0.6341463414634146,0.41935483870967744,0.5048543689320388,0.545415959252971,0.4787775891341256,0.4848087487174913,100
orig_mid,crf23,0.48,0.65625,0.3387096774193548,0.44680851063829785,0.5496604414261461,0.47071307300509335,0.4350851788231039,100
orig_high,crf23,0.55,0.7428571428571429,0.41935483870967744,0.5360824742268041,0.7308998302207131,0.31112054329371813,0.3888081166442896,100
low_mid,crf23,0.55,0.717948717948718,0.45161290322580644,0.5544554455445545,0.5407470288624788,0.44949066213921907,0.4907432584419051,100
low_high,crf23,0.46,0.6333333333333333,0.3064516129032258,0.41304347826086957,0.6039898132427843,0.42020373514431236,0.46751212234629985,100
mid_high,crf23,0.46,0.5952380952380952,0.4032258064516129,0.4807692307692308,0.5432937181663837,0.4787775891341256,0.4830067746720953,100
low_mid_group,crf23,0.57,0.7435897435897436,0.46774193548387094,0.5742574257425742,0.6048387096774194,0.398981324278438,0.3364077175619009,100
high_related,crf23,0.65,0.7872340425531915,0.5967741935483871,0.6788990825688074,0.7652801358234296,0.31918505942275044,0.3881870455089763,100
all_relations,crf23,0.66,0.8333333333333334,0.5645161290322581,0.6730769230769231,0.8098471986417657,0.2898981324278438,0.3532850030712832,100
score_stats,crf23,0.73,0.8431372549019608,0.6935483870967742,0.7610619469026548,0.8068760611205432,0.26061120543293714,0.46058254384397795,100
score_plus_all,crf23,0.69,0.8163265306122449,0.6451612903225806,0.7207207207207207,0.8217317487266553,0.29796264855687604,0.4154043323767978,100
orig_low,crf40,0.58,0.7941176470588235,0.43548387096774194,0.5625,0.6570458404074703,0.3828522920203735,0.4763468471990787,100
orig_mid,crf40,0.39,0.5161290322580645,0.25806451612903225,0.34408602150537637,0.47071307300509335,0.5424448217317488,0.4364430240065112,100
orig_high,crf40,0.57,0.7317073170731707,0.4838709677419355,0.5825242718446602,0.7109507640067911,0.34040747028862484,0.4456886991510112,100
low_mid,crf40,0.44,0.5882352941176471,0.3225806451612903,0.4166666666666667,0.40874363327674024,0.5929541595925296,0.4887129909634284,100
low_high,crf40,0.45,0.5853658536585366,0.3870967741935484,0.46601941747572817,0.4978777589134126,0.4787775891341256,0.4780071618359895,100
mid_high,crf40,0.46,0.5769230769230769,0.4838709677419355,0.5263157894736842,0.5144312393887945,0.5292869269949065,0.5184366163997088,100
low_mid_group,crf40,0.59,0.7560975609756098,0.5,0.6019417475728155,0.6646859083191851,0.39091680814940577,0.40152310512441153,100
high_related,crf40,0.65,0.8461538461538461,0.532258064516129,0.6534653465346535,0.784804753820034,0.2848047538200339,0.3477635164488366,100
all_relations,crf40,0.67,0.8536585365853658,0.5645161290322581,0.6796116504854369,0.8230050933786078,0.2555178268251273,0.34173678431565185,100
score_stats,crf40,0.7,0.8478260869565217,0.6290322580645161,0.7222222222222222,0.8539898132427843,0.26061120543293714,0.3997265662990495,100
score_plus_all,crf40,0.69,0.8444444444444444,0.6129032258064516,0.7102803738317757,0.8297962648556876,0.2393887945670628,0.3595095440752324,100
orig_low,mixed,0.5425,0.696969696969697,0.4637096774193548,0.5569007263922519,0.5981801782682513,0.41691426146010185,0.4807301285596791,400
orig_mid,mixed,0.4675,0.6377952755905512,0.32661290322580644,0.432,0.5482544567062818,0.49267826825127337,0.43209550364698274,400
orig_high,mixed,0.545,0.7323943661971831,0.41935483870967744,0.5333333333333333,0.7248249151103565,0.34772920203735147,0.39815020256805583,400
low_mid,mixed,0.5025,0.6540880503144654,0.41935483870967744,0.5110565110565111,0.5034221137521222,0.5093378607809846,0.4916990477862488,400
low_high,mixed,0.4825,0.6541353383458647,0.35080645161290325,0.4566929133858268,0.5653915534804754,0.46742359932088284,0.4716815133567624,400
mid_high,mixed,0.46,0.5860215053763441,0.43951612903225806,0.5023041474654378,0.530162351443124,0.5272707979626485,0.4973478208860388,400
low_mid_group,mixed,0.615,0.7831325301204819,0.5241935483870968,0.6280193236714976,0.6533319185059423,0.4002546689303905,0.39838516153314735,400
